OverallQual,LivArea,Fence,SalePrice
6,1152,1,158500
5,1336,0,157000
8,2452,0,267000
7,1541,0,205000
5,894,1,149900
7,3493,0,295000
8,2000,0,305900
7,2243,0,225000
6,1406,1,89500
4,861,0,82500
9,1944,0,360000
6,1501,0,165600
6,972,0,132000
5,1118,1,119900
7,2036,0,375000
7,1641,0,178000
7,1432,0,188500
7,2353,1,260000
8,1959,0,270000
7,2646,0,260000
7,1472,0,187500
9,2596,0,342643
8,2468,0,354000
7,2730,1,301000
3,1163,0,126175
7,2978,0,242000
5,803,0,87000
8,1719,0,324000
6,1383,0,145250
6,2134,0,214500
5,1192,1,78000
5,1728,0,119000
5,1056,0,139000
8,1629,0,284000
7,1358,0,207000
6,1638,0,192000
5,1786,0,228950
9,1922,0,377426
7,1536,0,214000
7,1621,0,202500
6,1215,0,155000
8,1908,0,202900
4,841,0,82000
3,1040,0,87500
9,1684,0,266000
5,1112,0,85000
6,1577,0,140200
6,958,0,151500
6,1478,0,157500
7,1626,0,154000
9,2728,0,437154
9,1869,0,318061
7,1453,0,190000
5,1111,0,95000
6,720,0,105900
6,1595,0,140000
6,1200,0,177500
6,1167,0,173000
5,1142,1,134000
5,1352,0,130000
8,1924,0,280000
6,912,1,156000
5,1505,0,145000
7,1922,0,198500
6,987,0,118000
6,1574,0,190000
5,1344,0,147000
6,1394,0,159000
6,1431,0,165000
5,1268,0,132000
5,1287,0,162000
6,1664,0,172400
4,1588,0,134432
6,752,1,125000
5,1319,1,123000
7,1928,0,219500
1,904,0,61000
5,914,0,148000
8,2466,0,340000
9,1856,0,394432
6,1800,0,179000
5,1691,0,127000
7,1301,0,187750
7,1797,0,213500
6,784,0,76000
6,1953,0,240000
8,1269,0,192000
5,1184,0,81000
6,1125,1,125000
7,1479,0,191000
10,2332,0,426000
5,1367,1,119000
6,1961,0,215000
5,882,1,106500
4,788,1,100000
5,1034,0,109000
5,1144,0,129000
5,894,0,123000
5,1812,0,169500
5,1077,0,67000
7,1550,0,241000
8,1288,0,245500
7,1310,0,164990
5,672,1,108000
8,2263,0,258000
6,1572,0,168000
4,1620,1,150000
6,1639,0,115000
6,1680,0,177000
7,2172,0,280000
8,2078,0,339750
5,1276,0,60000
5,1056,0,145000
7,1478,0,222000
5,1028,0,115000
7,2097,0,228000
7,1340,0,181134
6,1400,0,149500
6,2624,0,239000
5,1134,0,126000
5,1056,0,142000
7,1344,0,206300
6,1602,0,215000
5,988,0,113000
8,2630,0,315000
6,1196,0,139000
7,1389,0,135000
7,1644,0,275000
4,907,0,109008
7,1208,0,195400
6,1412,0,175000
6,987,0,85400
6,1198,1,79900
5,1365,0,122500
6,1604,0,181000
4,630,0,81000
7,1661,0,212000
6,1118,0,116000
6,904,0,119000
5,694,1,90350
6,1196,1,110000
10,2402,0,555000
4,1440,0,118000
5,1573,0,162900
7,1258,0,172500
7,1908,0,210000
6,1689,1,127500
6,1888,0,190000
7,1886,0,199900
6,1376,0,119500
3,1183,0,120000
6,813,0,110000
7,1533,0,280000
6,1756,0,204000
8,1590,0,210000
5,1728,0,188000
7,1242,0,175500
5,1344,0,98000
4,1663,0,256000
8,1666,1,161000
5,1203,0,110000
8,1935,0,263435
7,1135,1,155000
5,864,1,62383
6,1660,0,188700
5,1040,0,124000
7,1414,0,178740
7,1277,1,167000
5,1644,0,146500
8,1634,0,250000
6,1710,0,187000
8,1502,0,212000
7,1969,0,190000
6,1072,0,148000
8,1976,0,440000
8,1652,0,251000
5,970,0,132500
6,1493,0,208900
9,2643,0,380000
8,1718,0,297000
4,1131,1,89471
9,1850,0,326000
9,1792,0,374000
7,1826,0,155000
6,1216,0,164000
5,999,0,132500
5,1113,0,147000
5,1073,0,156000
5,1484,0,175000
5,2414,0,160000
4,630,0,86000
5,1304,0,115000
6,1578,1,133000
6,1456,0,172785
5,1269,0,155000
5,886,0,91300
4,720,1,34900
8,3228,0,430000
7,1820,1,184000
5,899,1,130000
5,912,1,120000
6,1218,0,113000
7,1768,0,226700
5,1214,1,140000
7,1801,1,289000
6,1322,0,147000
5,1960,0,124500
8,1911,0,215000
6,1218,0,208300
7,1378,0,161000
5,1041,1,124500
5,1363,0,164900
7,1368,0,202665
5,864,0,129900
6,1080,0,134000
5,789,1,96500
10,2020,0,402861
6,2119,1,158000
7,2344,0,265000
6,1796,1,211000
7,2080,1,234000
4,1294,0,106250
6,1244,0,150000
6,1664,0,159000
10,4676,0,184750
7,2398,0,315750
7,1266,0,176000
5,928,0,132000
9,2713,0,446261
4,605,0,86000
6,2515,0,200624
6,1509,0,175000
6,1362,0,128000
5,827,0,107500
1,334,0,39300
8,1414,0,178000
5,1347,0,107500
7,1724,0,188000
4,864,1,111250
5,1159,0,158000
8,1601,1,272000
9,1838,0,315000
8,2285,0,248000
7,1680,0,213250
7,767,0,133000
7,1496,0,179665
7,2183,0,229000
6,1635,0,210000
5,768,0,129500
5,825,1,125000
7,2094,0,263000
6,1069,0,140000
5,928,0,112500
8,1717,0,255500
4,1126,1,108000
7,2046,0,284000
5,1048,0,113000
5,1092,1,141000
4,1336,0,108000
7,1446,0,175000
7,1557,0,234000
5,1392,0,121500
5,1389,0,170000
5,996,0,108000
6,1674,0,185000
7,2295,0,268000
6,1647,0,128000
9,2504,0,325000
7,1535,0,214000
8,2132,0,316600
5,943,0,135960
5,1728,0,142600
6,864,0,120000
7,1692,0,224500
7,1430,0,170000
5,1109,1,139000
5,1216,0,118500
7,1477,0,145000
5,1320,0,164500
7,1392,0,146000
5,1795,0,131500
6,1429,0,181900
8,2042,0,253293
6,816,0,118500
10,2775,0,325000
4,1573,0,133000
8,2028,0,369900
6,838,1,130000
5,860,0,137000
5,1473,0,143000
5,935,0,79500
7,1582,0,185900
10,2296,0,451950
5,816,0,138000
6,848,0,140000
5,924,1,110000
8,1826,0,319000
6,1368,0,114504
7,1402,0,194201
5,1647,0,217500
6,1556,1,151000
8,1904,0,275000
6,1375,0,141000
8,1915,0,220000
7,1200,0,151000
7,1494,0,221000
7,1986,0,205000
5,1040,1,152000
5,2008,0,225000
8,3194,0,359100
4,1029,0,118500
9,2153,0,313000
6,1032,1,148000
8,1872,0,261500
5,1120,0,147000
4,630,0,75500
6,1054,1,137500
6,1509,0,183200
6,832,0,105500
9,1828,0,314813
8,2262,0,305000
3,864,0,67000
6,2614,0,240000
5,980,0,135000
6,1512,0,168500
6,1790,0,165150
6,1116,0,160000
5,1422,1,139900
6,1520,0,153000
5,2080,0,135000
6,1350,1,168500
5,1750,1,124000
8,1554,0,209500
7,1411,0,82500
5,1056,0,139400
6,1056,1,144000
6,3395,0,200000
2,800,0,60000
5,1387,0,93000
5,796,1,85000
8,1567,0,264561
8,1518,0,274000
7,1929,0,226000
8,2704,1,345000
5,1620,1,152000
9,1766,0,370878
6,981,0,143250
5,1048,0,98300
6,1094,0,155000
6,1839,0,155000
4,630,1,84500
7,1665,0,205950
4,1510,1,108000
7,1716,0,191000
6,1469,1,135000
8,2113,0,350000
6,1092,0,88000
5,1053,1,145500
7,1502,1,149000
6,1458,0,97500
5,1486,1,167000
7,1935,0,197900
8,2448,0,402000
6,1392,0,110000
4,1181,1,137500
8,2097,0,423000
8,1936,0,230500
6,2380,0,129000
6,1679,0,193500
5,1437,0,168000
4,1180,0,137500
6,1476,0,173500
6,1369,0,103600
6,1208,0,165000
6,1839,0,257500
6,1136,0,140000
6,1441,0,148500
4,1774,0,87000
5,792,0,109500
8,2046,0,372500
5,988,0,128500
6,923,0,143000
5,1520,0,159434
6,1291,0,173000
9,1668,0,285000
7,1839,0,221000
7,2090,0,207500
7,1761,0,227875
7,1102,0,148800
8,1419,0,392000
6,1362,0,194700
6,848,0,141000
10,4316,0,755000
7,2519,0,335000
5,1073,0,108480
5,1539,1,141500
6,1137,0,176000
5,616,0,89000
5,1148,0,123500
5,894,1,138500
7,1391,0,196000
8,1800,0,312500
7,1164,0,140000
8,2576,0,361919
5,1812,1,140000
7,1484,0,213000
4,1092,0,55000
7,1824,0,302000
8,1324,0,254000
7,1456,0,179540
5,904,1,109900
3,729,0,52000
4,1178,0,102776
8,1228,0,189000
4,960,0,129000
6,1479,0,130500
6,1350,1,165000
7,2554,0,159500
5,1178,1,157000
7,2418,0,341000
5,971,0,128500
8,1742,0,275000
6,848,0,143000
4,864,0,124500
4,1470,0,135000
9,1698,0,320000
4,864,0,120500
6,1680,0,222000
7,1232,0,194500
5,1776,0,110000
4,1208,0,103000
8,1616,0,236500
7,1146,0,187500
7,2031,0,222500
5,1144,1,131400
5,948,0,108000
7,1768,0,163000
3,1040,0,93500
8,1801,0,239900
5,1200,0,179000
7,1728,0,190000
5,1432,1,132000
6,912,1,142000
7,1349,1,179000
5,1464,0,175000
8,1337,0,180000
8,2715,0,299800
7,2256,0,236000
7,2640,0,265979
7,1720,0,260400
4,1529,0,98000
4,1140,0,96500
7,1320,0,162000
6,1494,0,217000
8,2098,0,275500
6,1026,0,156000
6,1471,0,172500
8,1768,0,212000
6,1386,1,158900
7,1501,0,179400
8,2531,0,290000
6,864,0,127500
5,1301,0,100000
7,1547,0,215200
8,2365,0,337000
8,1494,0,270000
9,1506,0,264132
7,1714,1,196500
6,1750,0,160000
7,1836,0,216837
8,3279,0,538000
5,858,0,134900
4,1220,0,102000
6,1117,1,107000
5,912,0,114500
8,1973,0,395000
6,1204,0,162000
7,1614,0,221500
5,894,1,142500
5,2020,0,144000
6,1004,0,135000
7,1253,0,176000
6,1603,0,175900
7,1430,0,187100
5,1110,0,165500
6,1484,0,128000
6,1342,0,161500
5,1652,0,139000
7,2084,0,233000
4,901,0,107900
6,2087,0,187500
7,1145,0,160200
6,1062,0,146800
7,2013,0,269790
8,1496,0,225000
7,1895,0,194500
6,1564,1,171000
6,1285,1,143500
5,773,0,110000
9,3140,0,485000
5,1768,1,175000
6,1688,0,200000
4,1196,0,109900
7,1456,0,189000
9,2822,0,582933
5,1128,1,118000
7,1428,0,227680
5,980,0,135500
5,1576,0,223500
5,1086,1,159950
5,2138,1,106000
6,1309,1,181000
6,848,0,144500
5,1044,0,55993
6,1442,0,157900
5,1250,0,116000
7,1661,0,224900
5,1008,0,137000
8,1689,0,271000
6,1052,1,155000
7,1358,0,224000
7,1640,0,183000
4,936,0,93000
7,1733,0,225000
6,1489,1,139500
8,1489,0,232600
10,2084,0,385000
5,784,0,109500
7,1434,0,189000
5,2126,0,185000
7,1223,0,147400
6,1392,0,166000
7,1200,0,151000
7,1829,0,237000
6,1516,0,167000
5,1144,1,139950
4,1067,0,128000
5,1559,1,153500
6,987,0,100000
5,1099,0,144000
5,1200,0,130500
6,1482,0,140000
5,1539,0,157500
6,1165,1,174900
5,1800,0,141000
5,1416,0,153900
5,1701,0,171000
7,1775,0,213000
5,864,0,133500
6,2358,0,240000
6,1855,0,187000
6,848,0,131500
8,1456,0,215000
7,1646,1,164000
6,1445,1,158000
5,1779,0,170000
5,1040,0,127000
6,1026,1,147000
6,1481,0,174000
7,1370,1,152000
6,2654,0,250000
7,1426,1,189950
5,1039,0,131500
6,1097,1,152000
5,1148,1,132500
7,1372,0,250580
5,1002,1,148500
8,1646,0,248900
4,1120,0,129000
5,2320,0,169000
7,1949,1,236000
5,894,0,109500
6,1682,0,200500
5,910,1,116000
5,1268,0,133000
5,1131,0,66500
8,2610,0,303477
4,1040,0,132250
9,2224,0,350000
5,1155,1,148000
5,864,1,136500
5,1090,0,157000
7,1717,0,187500
6,1593,1,178000
4,2230,0,118500
5,892,1,100000
9,1709,0,328900
5,1712,0,145000
5,1393,0,135500
8,2217,0,268000
6,1505,0,149500
5,924,1,122900
6,1683,0,172500
6,1068,1,154500
5,1383,1,165000
5,1535,0,118858
6,1796,0,140000
4,951,0,106500
5,2240,0,142953
9,2364,0,611657
5,1236,0,135000
4,858,0,110000
5,1306,0,153000
7,1509,0,180000
7,1670,0,240000
5,902,1,125500
5,1063,1,128000
8,1636,0,255000
7,2057,0,250000
5,902,1,131000
6,1484,0,174000
5,2274,0,154300
5,1268,0,143500
5,1015,1,88000
5,2002,0,145000
6,1224,0,173733
4,1092,0,75000
2,480,0,35311
4,1229,0,135000
7,2127,1,238000
6,1414,0,176500
6,1721,0,201000
5,2200,1,145900
6,1316,0,169990
6,1617,0,193000
6,1686,0,207500
5,1126,0,175000
8,2374,0,285000
7,1978,1,176000
8,1788,0,236500
7,2236,0,222000
8,1466,0,201000
5,925,1,117500
9,1905,0,320000
7,1500,0,190000
7,2069,0,242000
4,747,0,79900
7,1200,0,184900
7,1971,0,253000
7,1962,0,239799
7,2403,0,244400
6,1728,0,150900
7,2060,1,214000
4,1440,0,150000
5,1632,0,143000
6,1344,0,137500
5,1869,1,124900
5,1144,0,143000
8,1629,0,270000
7,1776,0,192500
6,1381,0,197500
5,864,0,129000
5,965,1,119900
5,768,1,133900
5,1968,1,172000
6,980,0,127500
6,1958,0,145000
6,1229,1,124000
5,1057,0,132000
7,1337,0,185000
7,1416,0,155000
5,858,0,116500
6,2872,0,272000
6,1548,0,155000
9,1800,0,239000
7,1894,0,214900
6,1484,0,178900
5,1308,0,160000
5,1098,0,135000
3,968,1,37900
6,1095,0,140000
4,1192,0,135000
7,1626,0,173000
6,918,0,99500
7,1428,0,182000
7,2019,1,167500
7,1382,0,165000
4,869,0,85500
7,1241,0,199900
4,894,0,110000
5,1121,1,139000
7,999,0,178400
8,2612,0,336000
7,1266,0,159895
8,2290,0,255900
5,1734,0,126000
5,1164,0,125000
6,1635,0,117000
9,1940,0,395192
6,2030,0,195000
7,1576,0,197000
8,2392,0,348000
8,1742,0,168000
6,1851,1,187000
6,1500,0,173900
10,1718,0,337500
4,1230,1,121600
5,1050,0,136500
6,1442,0,185000
3,1077,0,91000
7,1208,0,206000
3,944,0,82000
5,691,0,86000
8,1574,0,232000
5,1680,0,136905
7,1504,0,181000
5,985,0,149900
6,1657,0,163500
4,1092,0,88000
7,1710,0,240000
5,1522,0,102000
5,1271,0,135000
5,1664,0,100000
6,1502,0,165000
5,1022,0,85000
6,1082,0,119200
8,1665,0,227000
7,1504,0,203000
8,1360,0,187500
7,1472,0,160000
7,1506,0,213490
4,1132,0,176000
7,1220,0,194000
5,1248,0,87000
7,1504,0,191000
8,2898,0,287000
5,882,1,112500
5,1264,0,167500
8,1646,0,293077
5,1376,0,105000
6,1218,0,118000
5,1928,0,160000
7,3082,0,197000
8,2520,0,310000
7,1654,0,230000
5,954,1,119750
4,845,0,84000
9,1620,0,315500
8,2263,0,287000
4,1344,0,97000
4,630,0,80000
5,1803,1,155000
6,1632,0,173000
6,1306,0,196000
7,2329,0,262280
8,2524,1,278000
3,1733,0,139600
9,2868,0,556581
5,990,0,145000
5,1771,1,115000
4,930,0,84900
7,1302,0,176485
7,1316,0,200141
6,1977,1,165000
5,1526,0,144500
8,1989,0,255000
6,1523,1,180000
7,1364,0,185850
7,1850,0,248000
9,2184,0,335000
6,1991,0,220000
8,1338,0,213500
3,894,0,81000
5,2337,0,90000
6,1103,1,110500
5,1154,1,154000
7,2260,0,328000
6,1571,0,178000
6,1611,0,167900
6,2521,1,151400
5,893,0,135000
5,1048,0,135000
6,1556,0,154000
5,1456,0,91500
6,1426,1,159500
7,1240,0,194000
7,1740,0,219500
5,1466,0,170000
5,1096,0,138800
6,848,0,155900
5,990,0,126000
6,1258,0,145000
5,1040,1,133000
7,1459,0,192000
6,1251,1,160000
6,1498,0,187500
6,996,0,147000
4,1092,0,83500
8,1953,0,252000
7,1709,0,137500
8,1247,0,197000
3,1040,0,92900
7,1252,0,160000
6,1694,0,136500
5,1200,1,146000
5,936,0,129000
6,1314,0,176432
6,1355,0,127000
8,1088,0,170000
4,1324,0,128000
7,1601,0,157000
2,438,0,60000
5,950,0,119500
5,1134,1,135000
6,1194,0,159500
5,1302,0,106000
8,2622,0,325000
7,1442,0,179900
7,2021,0,274725
6,1690,0,181000
8,1836,0,280000
6,1658,0,188000
7,1964,0,205000
5,816,0,129900
5,1008,0,134500
5,833,1,117000
8,1734,0,318000
8,1419,0,184100
5,894,0,130000
5,1601,0,140000
5,1040,1,133700
6,1012,1,118400
7,1552,0,212900
4,960,1,112000
5,698,0,118000
7,1482,0,163900
4,1005,0,115000
7,1555,0,174000
7,1530,0,259000
7,1959,0,215000
5,936,0,140000
4,1981,1,135000
5,974,1,93500
6,2210,0,117500
8,2020,0,239500
6,1600,0,169000
6,986,0,102000
6,1252,0,119000
5,1020,0,94000
6,1567,0,196000
5,1167,0,144000
5,952,0,139000
5,1868,0,197500
8,2828,0,424870
5,1006,0,80000
4,924,1,80000
5,1576,0,149000
6,1298,0,180000
7,1564,0,174500
7,1111,0,116900
7,1482,0,143000
6,932,1,124000
5,1466,0,149900
6,1811,0,230000
6,816,0,120500
7,1820,1,201800
5,1437,0,218000
5,1265,1,179900
7,1314,0,230000
8,1580,0,235128
6,1876,0,185000
6,1456,0,146000
6,1640,0,224000
5,894,0,129000
4,1258,0,108959
5,1432,0,194000
7,1502,0,233170
8,1694,0,245350
6,1671,0,173000
6,2108,0,235000
10,3627,0,625000
6,1118,1,171000
6,1261,0,163000
7,1250,0,171900
5,3086,1,200500
6,2345,0,239000
8,2872,0,285000
5,923,1,119500
6,1224,0,115000
5,1343,0,154900
5,1124,0,93000
7,2514,1,250000
8,1652,0,392500
10,4476,1,745000
5,1130,0,120000
5,1572,0,186700
5,1221,0,104900
3,1699,0,95000
8,1624,1,262000
7,1660,0,195000
7,1804,0,189000
4,1622,0,168000
8,1441,0,174000
5,1472,1,125000
6,1224,0,165000
6,1352,1,158000
6,1456,0,176000
7,1863,0,219210
7,1690,0,144000
7,1212,0,178000
4,1382,0,148000
4,864,0,116050
7,1779,0,197900
5,1348,0,117000
7,1630,0,213000
5,1074,1,153500
7,2196,0,271900
4,1056,1,107000
6,1700,0,200000
5,1283,0,140000
8,1660,0,290000
6,1845,1,189000
8,1752,0,164000
4,672,0,113000
4,960,0,145000
5,999,0,134500
5,894,1,125000
6,1902,0,112000
8,1314,0,229456
4,912,0,80500
6,1218,0,91500
5,912,0,115000
5,1211,0,134000
6,1846,1,143000
5,2136,1,137900
7,1490,0,184000
6,1138,1,145000
6,1933,0,214000
5,912,0,147000
9,1702,0,367294
5,1507,1,127000
5,2620,0,190000
5,1190,1,132500
4,1224,0,101800
5,1188,1,142000
5,1964,0,130000
5,1784,0,138887
7,1626,0,175500
7,1948,0,195000
6,1141,0,142500
8,1484,0,265900
7,1768,0,224900
7,1689,0,248328
7,1173,1,170000
10,2076,0,465000
8,1517,0,230000
6,1868,0,178000
7,1553,0,186500
6,1034,0,169900
6,2058,0,129500
5,988,0,119000
7,2110,0,244000
7,1405,0,171750
5,874,1,130000
7,2167,1,294000
7,1656,0,165400
6,1367,0,127500
8,1987,0,301500
5,864,0,99900
7,1166,0,190000
6,1054,0,151000
6,1675,0,181000
5,1050,0,128900
4,1788,0,161500
6,1824,1,180500
6,1337,0,181000
7,1452,0,183900
7,1889,1,122000
9,2018,0,378500
8,3447,1,381000
5,1524,1,144000
7,1524,0,260000
6,1489,0,185750
5,935,1,137000
6,1357,1,177000
5,1250,0,139000
5,1920,0,137000
6,1395,0,162000
6,1724,0,197900
8,2031,0,237000
4,1128,0,68400
7,1573,0,227000
7,1339,0,180000
5,1040,0,150500
6,1824,0,139000
6,2447,0,169000
6,1412,0,132500
6,1328,0,143000
5,1582,0,190000
8,1659,0,278000
8,1970,0,281000
5,1152,0,180500
5,1302,0,119500
5,2372,0,107500
7,1664,1,162900
5,864,0,115000
5,1052,1,138500
5,1128,1,155000
6,1072,0,140000
10,5642,0,160000
5,1246,1,154000
7,1983,0,225000
6,1494,0,177500
8,2526,0,290000
7,1616,0,232000
7,1708,0,130000
9,1652,0,325000
7,1368,0,202500
5,990,0,138000
5,1122,1,147000
6,1294,1,179200
7,1902,0,335000
7,1274,0,203000
8,2810,0,302000
9,2599,0,333168
4,948,0,119000
6,2112,0,206900
8,1630,0,295493
7,1352,0,208900
8,1787,0,275000
4,948,0,111000
6,1478,0,156500
3,720,0,72500
7,1923,0,190000
4,708,0,82500
8,1795,0,147000
4,796,1,55000
3,774,0,79000
5,816,1,130500
6,2792,1,256000
7,1632,0,176500
8,1588,0,227000
5,954,0,132500
4,816,0,100000
5,1360,1,125500
5,1365,0,125000
6,1334,0,167900
5,1656,0,135000
4,693,0,52500
7,1861,0,200000
5,864,0,128500
4,872,1,123000
6,1114,0,155000
8,2169,0,228500
6,1913,0,177000
7,1456,0,155835
4,960,0,108500
7,2156,0,262500
8,1776,0,283463
7,1494,0,215000
8,2358,0,122000
5,2634,0,200000
6,1716,0,171000
6,1176,0,134900
8,3238,0,410000
7,1865,0,235000
7,1920,1,170000
5,892,1,110000
5,1078,0,149900
6,1573,0,177500
9,1980,0,315000
5,2601,0,189000
7,1530,0,260000
4,1738,0,104900
6,1412,0,156932
7,1200,0,144152
7,1674,0,216000
7,1790,0,193000
5,1475,0,127000
6,848,0,144000
8,1668,0,232000
4,1374,0,105000
6,1661,1,165500
7,2097,0,274300
10,2633,0,466500
7,1958,0,250000
8,1571,0,239000
6,790,0,91000
5,1604,0,117000
6,987,0,83000
5,1394,0,167500
3,864,0,58500
6,2117,0,237500
7,1762,0,157000
5,1416,0,112000
6,1258,1,105000
4,1154,1,125500
7,2784,1,250000
6,2526,1,136000
9,1746,0,377500
6,1218,0,131000
7,1525,0,235000
5,1584,0,124000
5,900,1,123000
6,1912,0,163000
7,1500,0,246578
8,2482,0,281213
5,1687,0,160000
5,1513,0,137500
5,1904,1,138000
6,1608,1,137450
6,1158,0,120000
6,1593,0,193000
7,1294,0,193879
8,1464,0,282922
3,1214,1,105000
8,1646,0,275000
5,768,1,133000
5,833,1,112000
4,1363,0,125500
7,2093,1,215000
7,1840,0,230000
6,1668,1,140000
4,1040,0,90000
8,1844,0,257000
6,1848,0,207000
7,1569,0,175900
4,2290,0,122500
8,2450,0,340000
